_component,_hasItemScoring,_id,_isAvailable,_parentId,_selectable,_type,body,displayTitle,instruction,scope,title
mcq,false,6311e958d77eec3905ae76d1,true,6311e946d77eec3905ae76ce,1,component,Is Glade Aerosol hazardous or non-hazardous?,Glade Aerosol,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Glade Aerosol
mcq,false,6311eac7d77eec3905ae76d9,true,6311eac7d77eec3905ae76d5,1,component,Is Off Deep Woods hazardous or non-hazardous?,Off Deep Woods,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Off Deep Woods
mcq,false,6311eb2dd77eec3905ae76df,true,6311eb2dd77eec3905ae76db,1,component,Is Windex hazardous or non-hazardous?,Windex,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Windex
mcq,false,6311eb68d77eec3905ae76e5,true,6311eb68d77eec3905ae76e1,1,component,Is Drano Max Gel hazardous or non-hazardous?,Drano Max Gel,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Drano Max Gel
mcq,false,6311ebb6d77eec3905ae76eb,true,6311ebb6d77eec3905ae76e7,1,component,Is Fantastik Bleach hazardous or non-hazardous?,Fantastik Bleach,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Fantastik Bleach
confidenceSlider,FALSE,confidence1,true,6311ef38d77eec3905ae76fe,1,component,How confident do you feel about your ability to correctly identify items as regulated or non-regulated when transported in commerce?,How Confident Are You?,Drag the slider to mark your level of confidence and select Submit.,sj_family_products_dangerous_goods,How Confident Are You?
mcq,false,631713ead77eec3905ae77b8,true,631713ead77eec3905ae77ac,1,component,"",Is Drano Max Gel classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Drano Max Gel classified as hazardous or non-hazardous?
mcq,false,631713ead77eec3905ae77bc,true,631713ead77eec3905ae77ad,1,component,"",Is Kiwi Leather Lotion classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Kiwi Leather Lotion classified as hazardous or non-hazardous?
mcq,false,631713ead77eec3905ae77c0,true,631713ead77eec3905ae77ae,1,component,"",Is Raid Ant & Roach classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Raid Ant & Roach classified as hazardous or non-hazardous?
mcq,false,631713ebd77eec3905ae77c4,true,631713ead77eec3905ae77af,1,component,"",Is Scrubbing Bubbles Bathroom Grime Fighter classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Scrubbing Bubbles Bathroom Grime Fighter classified as hazardous or non-hazardous?
mcq,false,631713ebd77eec3905ae77c8,true,631713ead77eec3905ae77b0,1,component,"",Is Windex Crystal Rain classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Windex Crystal Rain classified as hazardous or non-hazardous?
mcq,false,63171bdcd77eec3905ae7818,true,63171bdcd77eec3905ae7806,1,component,"",Which class does Scrubbing Bubbles Foaming Bleach belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Scrubbing Bubbles Foaming Bleach belong to and does it have to go through the HMSC for review prior to shipping?
mcq,false,63171bdcd77eec3905ae781c,true,63171bdcd77eec3905ae7807,1,component,"",Which class does Off Botanicals belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Off Botanicals belong to and does it have to go through the HMSC for review prior to shipping?
mcq,false,63171bdcd77eec3905ae7820,true,63171bdcd77eec3905ae7808,1,component,"",Which class does Off Family Care Insect Repellent Unscented belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Off Family Care Insect Repellent Unscented belong to and does it have to go through the HMSC for review prior to shipping?
mcq,false,63171bdcd77eec3905ae7824,true,63171bdcd77eec3905ae7809,1,component,"",Which class does Pledge Aerosol belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Pledge Aerosol belong to and does it have to go through the HMSC for review prior to shipping?
mcq,false,63171bdcd77eec3905ae7828,true,63171bdcd77eec3905ae780a,1,component,"",Which class does Drano Liquid belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Drano Liquid belong to and does it have to go through the HMSC for review prior to shipping?
confidenceSlider,FALSE,confidence2,true,63171bdcd77eec3905ae7810,1,component,"Now that you’ve gone through the course, how confident do you feel about your ability to identify items classified as hazardous or non-hazardous when transported in commerce?",How has your confidence grown?,Drag the slider to select your level of confidence and select Submit. Your previous answer is indicated in purple.,sj_family_products_dangerous_goods,How has your confidence grown?
confidenceSlider,FALSE,63172428d77eec3905ae7857,true,63172428d77eec3905ae7856,1,component,"Sharing your perspective helps us create meaningful and impactful learning experiences for you. Do you agree with this statement? After taking this course, I am more confident in my ability to properly ship dangerous goods.",I am more confident in my ability to properly ship dangerous goods,Drag the slider to select your level of agreement and select Submit. Your answer will remain anonymous.,sj_family_products_dangerous_goods,I am more confident in my ability to properly ship dangerous goods
confidenceSlider,FALSE,63172576d77eec3905ae785c,true,63172431d77eec3905ae7859,1,component,Do you agree with this statement?,I know how to properly ship dangerous goods in my role,Drag the slider to select your level of agreement and select Submit. Your answer will remain anonymous.,sj_family_products_dangerous_goods,I know how to properly ship dangerous goods in my role
confidenceSlider,FALSE,63172600d77eec3905ae785f,true,63172600d77eec3905ae785e,1,component,Do you agree with this statement?,This experience was a valuable use of my time.,Drag the slider to select your level of agreement and select Submit. Your answer will remain anonymous.,sj_family_products_dangerous_goods,This experience was a valuable use of my time.
