_component,_id,_isAvailable,_parentId,_type,body,displayTitle,instruction,scope,title
graphic,6311e94dd77eec3905ae76d0,true,6311e946d77eec3905ae76ce,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,6311e958d77eec3905ae76d1,true,6311e946d77eec3905ae76ce,component,Is Glade Aerosol hazardous or non-hazardous?,Glade Aerosol,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Glade Aerosol
graphic,6311eac7d77eec3905ae76d6,true,6311eac7d77eec3905ae76d5,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,6311eac7d77eec3905ae76d9,true,6311eac7d77eec3905ae76d5,component,Is Off Deep Woods hazardous or non-hazardous?,Off Deep Woods,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Off Deep Woods
graphic,6311eb2dd77eec3905ae76dc,true,6311eb2dd77eec3905ae76db,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,6311eb2dd77eec3905ae76df,true,6311eb2dd77eec3905ae76db,component,Is Windex hazardous or non-hazardous?,Windex,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Windex
graphic,6311eb68d77eec3905ae76e2,true,6311eb68d77eec3905ae76e1,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,6311eb68d77eec3905ae76e5,true,6311eb68d77eec3905ae76e1,component,Is Drano Max Gel hazardous or non-hazardous?,Drano Max Gel,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Drano Max Gel
graphic,6311ebb6d77eec3905ae76e8,true,6311ebb6d77eec3905ae76e7,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,6311ebb6d77eec3905ae76eb,true,6311ebb6d77eec3905ae76e7,component,Is Fantastik Bleach hazardous or non-hazardous?,Fantastik Bleach,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Fantastik Bleach
assessmentResults,6311ec06d77eec3905ae76f2,true,6311ebedd77eec3905ae76ed,component,"",The Challenge Results,"",sj_family_products_dangerous_goods,The Challenge Results
pageNav,6311ec27d77eec3905ae76f6,true,6311ec1ed77eec3905ae76f4,component,Return to the Main Menu or select next to discover the tools that help you accurately spot dangerous goods.,"","",sj_family_products_dangerous_goods,New Component Title
confidenceSlider,confidence1,true,6311ef38d77eec3905ae76fe,component,How confident do you feel about your ability to correctly identify items as regulated or non-regulated when transported in commerce?,How Confident Are You?,Drag the slider to mark your level of confidence and select Submit.,sj_family_products_dangerous_goods,How Confident Are You?
text,6311ef43d77eec3905ae7702,true,6311ef42d77eec3905ae7701,component,"Off the top of your head, can you identify each item’s classification as hazardous or non-hazardous when transported in commerce? Once you’ve responded to all questions, you’ll receive your cumulative results.",Spot the Dangerous Goods,"",sj_family_products_dangerous_goods,Spot the Dangerous Goods
graphic,63171379d77eec3905ae77a2,true,6311ebedd77eec3905ae76ed,component,"","","",sj_family_products_dangerous_goods,New Component Title
graphic,631713ead77eec3905ae77b5,true,631713ead77eec3905ae77ac,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,631713ead77eec3905ae77b8,true,631713ead77eec3905ae77ac,component,"",Is Drano Max Gel classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Drano Max Gel classified as hazardous or non-hazardous?
graphic,631713ead77eec3905ae77b9,true,631713ead77eec3905ae77ad,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,631713ead77eec3905ae77bc,true,631713ead77eec3905ae77ad,component,"",Is Kiwi Leather Lotion classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Kiwi Leather Lotion classified as hazardous or non-hazardous?
graphic,631713ead77eec3905ae77bd,true,631713ead77eec3905ae77ae,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,631713ead77eec3905ae77c0,true,631713ead77eec3905ae77ae,component,"",Is Raid Ant & Roach classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Raid Ant & Roach classified as hazardous or non-hazardous?
graphic,631713ebd77eec3905ae77c1,true,631713ead77eec3905ae77af,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,631713ebd77eec3905ae77c4,true,631713ead77eec3905ae77af,component,"",Is Scrubbing Bubbles Bathroom Grime Fighter classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Scrubbing Bubbles Bathroom Grime Fighter classified as hazardous or non-hazardous?
graphic,631713ebd77eec3905ae77c5,true,631713ead77eec3905ae77b0,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,631713ebd77eec3905ae77c8,true,631713ead77eec3905ae77b0,component,"",Is Windex Crystal Rain classified as hazardous or non-hazardous?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Is Windex Crystal Rain classified as hazardous or non-hazardous?
assessmentResults,631713ebd77eec3905ae77c9,true,631713ead77eec3905ae77b1,component,"",The Challenge Results,"",sj_family_products_dangerous_goods,The Challenge Results
graphic,631713ebd77eec3905ae77ca,true,631713ead77eec3905ae77b1,component,"","","",sj_family_products_dangerous_goods,New Component Title
pageNav,631713ebd77eec3905ae77cd,true,631713ead77eec3905ae77b2,component,Remember: checking the Safety Data Sheet will help you identify the correct classification every time.,"",Return to the Main Menu or select next to learn how the Hazardous Materials Shipping Coordinator helps you comply with federal regulations.,sj_family_products_dangerous_goods,New Component Title
narrative,6317152bd77eec3905ae77d3,true,63171505d77eec3905ae77d1,component,"","","",sj_family_products_dangerous_goods,All about Safety Data Sheets 
accordion,63171682d77eec3905ae77d7,true,631713ead77eec3905ae77b4,component,"The US Department of Transportation and the International Air Transportation Association define hazardous materials as articles or substances which can pose a risk to health, safety, property, or the environment. Hazardous materials are dangerous goods.",Defining a Hazardous Item,Select each plus sign to find out more.,sj_family_products_dangerous_goods,Defining a Hazardous Item
text,631716e5d77eec3905ae77db,true,631716d7d77eec3905ae77d9,component,"Now that you know to check the SDS to identify if an item is hazardous, can you correctly identify each item’s classification when transported in commerce?",Check with the SDS,"",sj_family_products_dangerous_goods,Check with the SDS
graphic,6317176cd77eec3905ae77e0,true,63171758d77eec3905ae77dd,component,"",Drano Max Gel,"",sj_family_products_dangerous_goods,Drano Max Gel
graphic,63171841d77eec3905ae77ed,true,63171841d77eec3905ae77ec,component,"",Kiwi Leather Lotion,"",sj_family_products_dangerous_goods,Kiwi Leather Lotion
graphic,631718c4d77eec3905ae77f2,true,631718c4d77eec3905ae77f1,component,"",Raid Ant & Roach,"",sj_family_products_dangerous_goods,Raid Ant & Roach
graphic,631719c8d77eec3905ae77f7,true,631719c8d77eec3905ae77f6,component,"",Scrubbing Bubbles Bathroom Grime Fighter,"",sj_family_products_dangerous_goods,Scrubbing Bubbles Bathroom Grime Fighter
graphic,63171a8fd77eec3905ae77fc,true,63171a8fd77eec3905ae77fb,component,"",Windex Crystal Rain,"",sj_family_products_dangerous_goods,Windex Crystal Rain
graphic,63171bdcd77eec3905ae7815,true,63171bdcd77eec3905ae7806,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,63171bdcd77eec3905ae7818,true,63171bdcd77eec3905ae7806,component,"",Which class does Scrubbing Bubbles Foaming Bleach belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Scrubbing Bubbles Foaming Bleach belong to and does it have to go through the HMSC for review prior to shipping?
graphic,63171bdcd77eec3905ae7819,true,63171bdcd77eec3905ae7807,component,"","","",sj_family_products_dangerous_goods,New Component Title
mcq,63171bdcd77eec3905ae781c,true,63171bdcd77eec3905ae7807,component,"",Which class does Off Botanicals belong to and does it have to go through the HMSC for review prior to shipping?,Choose the correct answer and select Submit.,sj_family_products_dangerous_goods,Which class does Off Botanicals belong to and does it have to go through the HMSC for review prior to shipping?
graphic,63171bdcd77eec3905ae781d,true,63171bdcd77eec3905ae7808,component,"","","",sj_family_products_dangerous_goods,New Component Title
